,SEC_INT,P1,P2$01,P4,DEPTO_MUNI,P7_NO_PERNOC,P7_SI_PERNOC,P9_#EXCURSION,DEP_MUN_LUG,P11_MOTIVO_EXCURSION,P13_GASTO_EXCURSION,P14_#PER_EXCURSION,P16_#EXCUR_CONPERNOC,SUMA_PUNTOS,EDAD,PROFESION,OCUPACION,GENERO,VIA_VIAJE,P18_#NOCHES1,P19_#PERSON1,P20_MOTIVO_1,P21_ALOJ_1,P22_PER_GAS_1,P24_VIAJE_ORG,P26_TRASPORTE,P27_DG_SUMA,P17_DESTINO1
4446,21010052,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,10.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,10,46,AMA DE CASA,AMA DE CASA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
4448,28030072,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,3.0,11.0,GUATEMALA_GUATEMALA_RESIDENCIALES SAN ANGEL,Visita a familiares y amigos,200.0,2.0,1.0,16,26,SECRETARIA BILINGUE,AGENTE DE SERVICIO AL CLIENTE,Femenino,Sí,0.0,2.0,"Ocio, recreo y/o vacaciones",Hotel o similares,2.0,Paquete turístico,Bus turístico,600.0,CHIMALTENANGO_TECPAN_PARQUE
4449,28030072,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,2.0,11.0,GUATEMALA_GUATEMALA_RESIDENCIALES SAN ANGEL,Visita a familiares y amigos,200.0,2.0,1.0,16,26,SECRETARIA BILINGUE,AGENTE DE SERVICIO AL CLIENTE,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
4451,28030072,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,1.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,17,33,PSICOLOGIA,PSICOLOGA,Femenino,Sí,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Reserva individual,Vehículo,1550.0,QUETZALTENANGO_ZUNIL_AGUAS GEORGINAS
4452,28030072,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,6.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,17,33,PSICOLOGIA,PSICOLOGA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
4454,28030072,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,1.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,2.0,17,50,ARQUITECTO,AMA DE CASA,Femenino,Sí,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,1440.0,CHIMALTENANGO_TECPAN_FINCA FILADELFIA
4455,28030072,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,10.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,2.0,17,50,ARQUITECTO,AMA DE CASA,Femenino,Sí,2.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,4400.0,SACATEPEQUEZ_ANTIGUA GUATEMALA_CENTRO HISTORICO
4456,28030072,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,1.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,2.0,17,50,ARQUITECTO,AMA DE CASA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
4457,28030072,Si,Día de la independencia 15 de septiembre,No dispone de segunda vivienda,NINGUNO,3.0,10.0,3.0,SACATEPEQUEZ_ANTIGUA GUATEMALA_ARCO,"Ocio, recreo y/o vacaciones",350.0,4.0,1.0,20,41,ADMINISTRADOR DE EMPRESAS,ADMINISTRADOR DE EMPRESAS,Masculino,Sí,2.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,2500.0,RETALHULEU_SANTA CRUZ MULUA_IRTRA
4458,28030072,Si,Día de la independencia 15 de septiembre,No dispone de segunda vivienda,NINGUNO,3.0,3.0,3.0,SACATEPEQUEZ_ANTIGUA GUATEMALA_ARCO,"Ocio, recreo y/o vacaciones",350.0,4.0,1.0,20,41,ADMINISTRADOR DE EMPRESAS,ADMINISTRADOR DE EMPRESAS,Masculino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
4460,28030072,Si,Vacaciones de medio año,No dispone de segunda vivienda,NINGUNO,3.0,2.0,20.0,GUATEMALA_GUATEMALA_C.C. LOS PROCERES,"Ocio, recreo y/o vacaciones",350.0,4.0,1.0,18,39,ABOGADA,AMA DE CASA,Femenino,Sí,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,40.0,Por su cuenta,Vehículo,1300.0,ESCUINTLA_SAN JOSE_PUERTO SAN JOSE
4461,28030072,Si,Vacaciones de medio año,No dispone de segunda vivienda,NINGUNO,3.0,2.0,20.0,GUATEMALA_GUATEMALA_C.C. LOS PROCERES,"Ocio, recreo y/o vacaciones",350.0,4.0,1.0,18,39,ABOGADA,AMA DE CASA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
4463,28030072,Si,Día de los santos (año 2017),"Sí, es de su propiedad","SUCHITEPEQUEZ_MAZATENANGO, SAN PABLO JOCOPILAS",3.0,6.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,20,21,ESTUDIANTE DE MEDICINA,ESTUDIANTE,Masculino,Sí,1.0,5.0,"Ocio, recreo y/o vacaciones",Casa de amigos o familiares,5.0,Por su cuenta,Vehículo,650.0,QUETZALTENANGO_QUETZALTENANGO_PARQUE CENTRAL
4464,28030072,Si,Día de los santos (año 2017),"Sí, es de su propiedad","SUCHITEPEQUEZ_MAZATENANGO, SAN PABLO JOCOPILAS",3.0,6.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,20,21,ESTUDIANTE DE MEDICINA,ESTUDIANTE,Masculino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
4466,28030072,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,12.0,6.0,SACATEPEQUEZ_ANTIGUA GUATEMALA_PARQUE,"Ocio, recreo y/o vacaciones",1500.0,2.0,1.0,18,49,PERITO CONTADOR,ADMINISTRACION DE EMPRESAS,Femenino,Sí,1.0,2.0,"Ocio, recreo y/o vacaciones",Airbnb,2.0,Por su cuenta,Bus turístico,900.0,CHIMALTENANGO_CHIMALTENANGO_PARQUE DE CHIMALTENANGO
4467,28030072,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,5.0,6.0,SACATEPEQUEZ_ANTIGUA GUATEMALA_PARQUE,"Ocio, recreo y/o vacaciones",1500.0,2.0,1.0,18,49,PERITO CONTADOR,ADMINISTRACION DE EMPRESAS,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
4469,24020051,Si,Día de la independencia 15 de septiembre,"Sí, es de familiares o amigos",RETALHULEU_RETALHULEU,3.0,2.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,2.0,16,24,BACHILLERATO EN MERCADOTECNIA Y PUBLICIDAD,ESTUDIANTE UNIVERSITARIO,Masculino,Sí,2.0,5.0,"Ocio, recreo y/o vacaciones",Hotel o similares,1.0,Por su cuenta,Vehículo,1900.0,RETALHULEU_SANTA CRUZ MULUA_IRTRA
4470,24020051,Si,Día de la independencia 15 de septiembre,"Sí, es de familiares o amigos",RETALHULEU_RETALHULEU,3.0,2.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,2.0,16,24,BACHILLERATO EN MERCADOTECNIA Y PUBLICIDAD,ESTUDIANTE UNIVERSITARIO,Masculino,Sí,2.0,5.0,"Ocio, recreo y/o vacaciones",Hotel o similares,5.0,Por su cuenta,Vehículo,1950.0,SOLOLÁ_PANAJACHEL_LAGO DE ATITLAN
4471,24020051,Si,Día de la independencia 15 de septiembre,"Sí, es de familiares o amigos",RETALHULEU_RETALHULEU,3.0,2.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,2.0,16,24,BACHILLERATO EN MERCADOTECNIA Y PUBLICIDAD,ESTUDIANTE UNIVERSITARIO,Masculino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
4472,24020051,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,4.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,3.0,17,69,PRIMARIA COMPLETA,REPOSTERO,Masculino,Sí,1.0,6.0,Religión y peregrinación,Hotel o similares,6.0,Por su cuenta,Bus regional,2260.0,QUETZALTENANGO_QUETZALTENANGO_CENTRO HISTORICO
4473,24020051,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,5.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,3.0,17,69,PRIMARIA COMPLETA,REPOSTERO,Masculino,Sí,5.0,2.0,Visita a familiares y/o amigos,Casa de amigos o familiares,2.0,Por su cuenta,Vehículo,650.0,QUETZALTENANGO_COLOMBA COSTA CUCA_COLOMBA COSTA CUCA
4474,24020051,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,10.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,3.0,17,69,PRIMARIA COMPLETA,REPOSTERO,Masculino,Sí,5.0,4.0,"Ocio, recreo y/o vacaciones",Casa de amigos o familiares,4.0,Por su cuenta,Vehículo,900.0,QUETZALTENANGO_COLOMBA COSTA CUCA_COLOMBA COSTA CUCA
4475,24020051,Si,Feriados largos,No dispone de segunda vivienda,NINGUNO,3.0,8.0,8.0,SACATEPEQUEZ_ANTIGUA GUATEMALA_CENTRO HISTORICO,"Ocio, recreo y/o vacaciones",1000.0,6.0,2.0,19,29,ARQUITECTURA,VENDEDORA,Femenino,Sí,2.0,6.0,"Ocio, recreo y/o vacaciones",Airbnb,6.0,Por su cuenta,Vehículo,13700.0,SANTA ROSA_TAXISCO_MONTERICO
4476,24020051,Si,Feriados largos,No dispone de segunda vivienda,NINGUNO,3.0,7.0,8.0,SACATEPEQUEZ_ANTIGUA GUATEMALA_CENTRO HISTORICO,"Ocio, recreo y/o vacaciones",1000.0,6.0,2.0,19,29,ARQUITECTURA,VENDEDORA,Femenino,Sí,2.0,6.0,"Ocio, recreo y/o vacaciones",Hotel o similares,6.0,Por su cuenta,Vehículo,3500.0,SACATEPEQUEZ_ANTIGUA GUATEMALA_CENTRO HISTORICO
4477,24020051,Si,Feriados largos,No dispone de segunda vivienda,NINGUNO,3.0,5.0,8.0,SACATEPEQUEZ_ANTIGUA GUATEMALA_CENTRO HISTORICO,"Ocio, recreo y/o vacaciones",1000.0,6.0,2.0,19,29,ARQUITECTURA,VENDEDORA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
4478,24020051,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,5.0,1.0,GUATEMALA_GUATEMALA_CENTRO HISTORICO ZONA 1,"Ocio, recreo y/o vacaciones",600.0,1.0,1.0,18,19,"BACHILLER EN CIENCIAS Y LETRAS, L. ADMON EN PROYECTOS",TRABAJADOR DE PEQUE!A EMPRESA,Masculino,Sí,1.0,1.0,"Ocio, recreo y/o vacaciones",Hotel o similares,1.0,Por su cuenta,Bus turístico,775.0,CHIQUIMULA_ESQUIPULAS_FINCA GIRASOLES
4479,24020051,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,0.0,1.0,GUATEMALA_GUATEMALA_CENTRO HISTORICO ZONA 1,"Ocio, recreo y/o vacaciones",600.0,1.0,1.0,18,19,"BACHILLER EN CIENCIAS Y LETRAS, L. ADMON EN PROYECTOS",TRABAJADOR DE PEQUE!A EMPRESA,Masculino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
4481,24020051,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,0.0,1.0,SACATEPEQUEZ_ANTIGUA GUATEMALA_CENTRO ANTIGUA C. HISTORICO,"Ocio, recreo y/o vacaciones",400.0,2.0,1.0,18,60,MAESTRA DE PRIMARIA,AMA DE CASA,Femenino,Sí,2.0,2.0,"Ocio, recreo y/o vacaciones",Airbnb,2.0,Por su cuenta,Vehículo,1600.0,SANTA ROSA_TAXISCO_MONTERRICO
4482,24020051,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,6.0,1.0,SACATEPEQUEZ_ANTIGUA GUATEMALA_CENTRO ANTIGUA C. HISTORICO,"Ocio, recreo y/o vacaciones",400.0,2.0,1.0,18,60,MAESTRA DE PRIMARIA,AMA DE CASA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
4484,24020051,Si,Noche buena (año 2017),No dispone de segunda vivienda,NINGUNO,3.0,6.0,15.0,SACATEPEQUEZ_ANTIGUA GUATEMALA_CENTROS HISTORICO,"Ocio, recreo y/o vacaciones",800.0,5.0,2.0,19,68,"LICENCIATURA EN ARTE, CON ESPECIALIDAD EN FILOSOFIA",MAESTRO DE ARTE,Masculino,Sí,3.0,6.0,"Ocio, recreo y/o vacaciones",Hotel o similares,6.0,Por su cuenta,Bus regional,11300.0,PETEN_FLORES_YAXA
4485,24020051,Si,Noche buena (año 2017),No dispone de segunda vivienda,NINGUNO,3.0,3.0,15.0,SACATEPEQUEZ_ANTIGUA GUATEMALA_CENTROS HISTORICO,"Ocio, recreo y/o vacaciones",800.0,5.0,2.0,19,68,"LICENCIATURA EN ARTE, CON ESPECIALIDAD EN FILOSOFIA",MAESTRO DE ARTE,Masculino,Sí,3.0,6.0,"Ocio, recreo y/o vacaciones",Hotel o similares,6.0,Por su cuenta,Vehículo,6000.0,RETHALULEU_SANTA CRUZ MULUA_IRTRA DE XETULUL
4486,24020051,Si,Noche buena (año 2017),No dispone de segunda vivienda,NINGUNO,3.0,0.0,15.0,SACATEPEQUEZ_ANTIGUA GUATEMALA_CENTROS HISTORICO,"Ocio, recreo y/o vacaciones",800.0,5.0,2.0,19,68,"LICENCIATURA EN ARTE, CON ESPECIALIDAD EN FILOSOFIA",MAESTRO DE ARTE,Masculino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
4487,24020051,Si,Día de la revolución (20 Octubre),No dispone de segunda vivienda,NINGUNO,3.0,2.0,2.0,SACATEPEQUEZ_ANTIGUA GUATEMALA_AGUAS CALIENTES,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,15,72,PERITO CONTADOR,AMA DE CASA,Femenino,Sí,1.0,3.0,"Ocio, recreo y/o vacaciones",Hotel o similares,3.0,Por su cuenta,Vehículo,1100.0,RETALHULEU_SANTA CRUZ_IRTRA
4488,24020051,Si,Día de la revolución (20 Octubre),No dispone de segunda vivienda,NINGUNO,3.0,2.0,2.0,SACATEPEQUEZ_ANTIGUA GUATEMALA_AGUAS CALIENTES,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,15,72,PERITO CONTADOR,AMA DE CASA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
4490,24020092,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,2.0,2.0,ESCUINTLA_TAXISCO_AUTO SAFARI,"Ocio, recreo y/o vacaciones",300.0,3.0,6.0,15,52,MAESTRA DE PREPRIMARIA,MAESTRA,Femenino,Sí,2.0,3.0,"Ocio, recreo y/o vacaciones",Otros,3.0,Por su cuenta,Vehículo,400.0,ESCUINTLA_PUERTO DE SAN JOSE_PUERTO DE SAN JOS!
4491,24020092,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,1.0,2.0,ESCUINTLA_TAXISCO_AUTO SAFARI,"Ocio, recreo y/o vacaciones",300.0,3.0,6.0,15,52,MAESTRA DE PREPRIMARIA,MAESTRA,Femenino,Sí,2.0,3.0,"Ocio, recreo y/o vacaciones",Otros,3.0,Por su cuenta,Vehículo,475.0,ESCUINTLA_PUERTO DE SAN JOSE_PUERTO SAN JOS!
4492,24020092,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,6.0,2.0,ESCUINTLA_TAXISCO_AUTO SAFARI,"Ocio, recreo y/o vacaciones",300.0,3.0,6.0,15,52,MAESTRA DE PREPRIMARIA,MAESTRA,Femenino,Sí,2.0,3.0,"Ocio, recreo y/o vacaciones",Otros,3.0,Por su cuenta,Vehículo,550.0,ESCUINTLA_PUERTO DE SAN JOS!_PUERTO DE SAN JOSE
4493,24020092,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,5.0,10.0,"SANTA ROSA_SANTA CRUZ NARANJO_PUEBLO, CENTRO HISTORICO",Visita a familiares y amigos,200.0,2.0,1.0,18,70,AMA DE CASA,AMA DE CASA,Femenino,Sí,1.0,15.0,"Ocio, recreo y/o vacaciones",Casa de amigos o familiares,15.0,No organizó,Vehículo,0.0,ESCUINTLA_PUERTO SAN JOSE_PUERTO SAN JOSE
4494,24020092,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,3.0,10.0,"SANTA ROSA_SANTA CRUZ NARANJO_PUEBLO, CENTRO HISTORICO",Visita a familiares y amigos,200.0,2.0,1.0,18,70,AMA DE CASA,AMA DE CASA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
4496,24020092,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,10.0,4.0,SOLOLÁ_PANAJACHEL_PANAJACHEL,"Ocio, recreo y/o vacaciones",75.0,1.0,1.0,18,39,CUARTO PRIMARIA,DOMESTICA,Femenino,Sí,1.0,1.0,"Ocio, recreo y/o vacaciones",Casa de amigos o familiares,1.0,Por su cuenta,Vehículo,0.0,GUATEMALA_VILLA CANALES_AGUA TIBIA JOCOTILLO
4497,24020092,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,7.0,4.0,SOLOLÁ_PANAJACHEL_PANAJACHEL,"Ocio, recreo y/o vacaciones",75.0,1.0,1.0,18,39,CUARTO PRIMARIA,DOMESTICA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
4499,24020092,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,3.0,2.0,SANTA ROSA_CHIQUIMULA_PUEBLO,Visita a familiares y amigos,300.0,3.0,1.0,19,26,TERCERO BASICO,PROMOTORA DE VENTAS,Femenino,Sí,2.0,3.0,"Ocio, recreo y/o vacaciones",Casa de amigos o familiares,3.0,Por su cuenta,Vehículo,910.0,ESCUINTLA_SIPACATE_PLAYA LA EMPALIZADA
4500,24020092,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,10.0,2.0,SANTA ROSA_CHIQUIMULA_PUEBLO,Visita a familiares y amigos,300.0,3.0,1.0,19,26,TERCERO BASICO,PROMOTORA DE VENTAS,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
4502,24020092,Si,Otros,"Sí, es de familiares o amigos",QUETZALTENANGO_QUETZALTENANGO,3.0,1.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,3.0,16,40,SECRETARIA COMERCIAL,AMA DE CASA,Femenino,Sí,2.0,3.0,"Ocio, recreo y/o vacaciones",Casa de amigos o familiares,3.0,Por su cuenta,Vehículo,800.0,SANTA ROSA_TAXISCO_MONTERRICO
4503,24020092,Si,Otros,"Sí, es de familiares o amigos",QUETZALTENANGO_QUETZALTENANGO,3.0,1.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,3.0,16,40,SECRETARIA COMERCIAL,AMA DE CASA,Femenino,Sí,2.0,3.0,"Ocio, recreo y/o vacaciones",Hotel o similares,1.0,Reserva individual,Vehículo,3100.0,SANTA ROSA_MONTERRICO_BIOTOPO HAWAI
4504,24020092,Si,Otros,"Sí, es de familiares o amigos",QUETZALTENANGO_QUETZALTENANGO,3.0,1.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,3.0,16,40,SECRETARIA COMERCIAL,AMA DE CASA,Femenino,Sí,2.0,3.0,"Ocio, recreo y/o vacaciones",Hotel o similares,3.0,Por su cuenta,Vehículo,3300.0,SANTA ROSA_MONTERICO_HAWAI
4505,26010035,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,12.0,24.0,SACATEPEQUEZ_ANTIGUA GUATEMALA_CENTRO HISTORICO,"Ocio, recreo y/o vacaciones",300.0,3.0,3.0,14,46,"DESEMPLEADO, PENSUM CERRADO EN ANTROPOLOGIA",DESEMPLEADO,Masculino,Sí,2.0,5.0,"Ocio, recreo y/o vacaciones",Hotel o similares,5.0,Reserva individual,Bus turístico,1990.0,PETEN_FLORES_TIKAL
4506,26010035,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,5.0,24.0,SACATEPEQUEZ_ANTIGUA GUATEMALA_CENTRO HISTORICO,"Ocio, recreo y/o vacaciones",300.0,3.0,3.0,14,46,"DESEMPLEADO, PENSUM CERRADO EN ANTROPOLOGIA",DESEMPLEADO,Masculino,Sí,2.0,4.0,Religión y peregrinación,Hotel o similares,4.0,Reserva individual,Bus turístico,1850.0,CHIQUIMULA_ESQUIPULAS_BASILICA
4507,26010035,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,12.0,24.0,SACATEPEQUEZ_ANTIGUA GUATEMALA_CENTRO HISTORICO,"Ocio, recreo y/o vacaciones",300.0,3.0,3.0,14,46,"DESEMPLEADO, PENSUM CERRADO EN ANTROPOLOGIA",DESEMPLEADO,Masculino,Sí,2.0,4.0,Religión y peregrinación,Hotel o similares,4.0,Reserva individual,Bus turístico,1800.0,CHIQUIMULA_ESQUIPULAS_BACILICA
4508,26010035,Si,Noche buena (año 2017),No dispone de segunda vivienda,NINGUNO,3.0,10.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,5.0,18,36,LICENCIADO EN ADMINISTRACION DE EMPRESAS,ELECTRICIDAD,Masculino,Sí,1.0,2.0,"Ocio, recreo y/o vacaciones",Hotel o similares,2.0,Por su cuenta,Vehículo,595.0,CHIMALTENANGO_SAN JUAN COMALAPA_SAN JUAN COMALAPA
4509,26010035,Si,Noche buena (año 2017),No dispone de segunda vivienda,NINGUNO,3.0,8.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,5.0,18,36,LICENCIADO EN ADMINISTRACION DE EMPRESAS,ELECTRICIDAD,Masculino,Sí,1.0,2.0,"Ocio, recreo y/o vacaciones",Hotel o similares,2.0,Por su cuenta,Vehículo,800.0,CHIQUIMULA_ESQUIPULAS_BASILICA
4510,26010035,Si,Noche buena (año 2017),No dispone de segunda vivienda,NINGUNO,3.0,3.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,5.0,18,36,LICENCIADO EN ADMINISTRACION DE EMPRESAS,ELECTRICIDAD,Masculino,Sí,1.0,2.0,"Ocio, recreo y/o vacaciones",Hotel o similares,2.0,Por su cuenta,Vehículo,1025.0,QUICHE_CHICHICASTENANGO_CHICHICASTENANGO
4511,26020035,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,0.0,3.0,SACATEPEQUEZ_ANTIGUA GUATEMALA_ANTIGUA GUATEMALA,"Ocio, recreo y/o vacaciones",300.0,1.0,3.0,16,42,AUDITOR,AUDITOR,Masculino,Sí,1.0,3.0,"Ocio, recreo y/o vacaciones",Hotel o similares,3.0,Por su cuenta,Bus regional,2400.0,RETALHULEU_SAN MARTIN ZAPOTITLAN_IRTRA
4512,26020035,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,2.0,3.0,SACATEPEQUEZ_ANTIGUA GUATEMALA_ANTIGUA GUATEMALA,"Ocio, recreo y/o vacaciones",300.0,1.0,3.0,16,42,AUDITOR,AUDITOR,Masculino,Sí,1.0,3.0,"Ocio, recreo y/o vacaciones",Hotel o similares,3.0,Reserva individual,Vehículo,4000.0,SOLOLÁ_PANAJACHEL_PANAJACHEL
4513,26020035,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,10.0,3.0,SACATEPEQUEZ_ANTIGUA GUATEMALA_ANTIGUA GUATEMALA,"Ocio, recreo y/o vacaciones",300.0,1.0,3.0,16,42,AUDITOR,AUDITOR,Masculino,Sí,1.0,3.0,"Ocio, recreo y/o vacaciones",Hotel o similares,3.0,Reserva individual,Bus turístico,2400.0,SOLOLÁ_PANAJACHEL_PANAJACHEL
4514,26010035,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,5.0,3.0,JALAPA_SAN PEDRO PINULA_LOS CHORROS,"Ocio, recreo y/o vacaciones",200.0,4.0,1.0,18,40,AMA DE CASA,AMA DE CASA,Femenino,Sí,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Reserva individual,Bus turístico,645.0,CHIQUIMULA_ESQUIPULAS_TURICENTRO LA PLANTA
4515,26010035,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,2.0,3.0,JALAPA_SAN PEDRO PINULA_LOS CHORROS,"Ocio, recreo y/o vacaciones",200.0,4.0,1.0,18,40,AMA DE CASA,AMA DE CASA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
4517,26010035,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,2.0,3.0,JUTIAPA_ASUNCION MITA_ATATATUPA,"Ocio, recreo y/o vacaciones",600.0,6.0,1.0,16,70,COMERCIANTE,COMERCIANTE,Masculino,Sí,2.0,5.0,"Ocio, recreo y/o vacaciones",Hotel o similares,5.0,Por su cuenta,Vehículo,300.0,GUATEMALA_VILLA NUEVA_EL FILON
